English,Emoji,emoji_list
critical temperature,[EM]face with thermometer[EM]hospital[EM],"[':face_with_thermometer:', ':hospital:']"
critical temperature,[EM]hot springs[EM]face with head-bandage[EM],"[':hot_springs:', ':face_with_head-bandage:']"
critical temperature,[EM]police car light[EM]thermometer[EM],"[':police_car_light:', ':thermometer:']"
critical temperature,[EM]thermometer[EM]red exclamation mark[EM],"[':thermometer:', ':red_exclamation_mark:']"
critical temperature,[EM]thermometer[EM]hushed face[EM],"[':thermometer:', ':hushed_face:']"
critical temperature,[EM]red exclamation mark[EM]red exclamation mark[EM]thermometer[EM]thermometer[EM]thermometer[EM],"[':red_exclamation_mark:', ':red_exclamation_mark:', ':thermometer:', ':thermometer:', ':thermometer:']"
critical shortage,[EM]cross mark[EM]red question mark[EM]warning[EM]warning[EM],"[':cross_mark:', ':red_question_mark:', ':warning:', ':warning:']"
critical shortage,[EM]cross mark[EM]bread[EM]skull and crossbones[EM],"[':cross_mark:', ':bread:', ':skull_and_crossbones:']"
critical shortage,[EM]cross mark[EM]bento box[EM]cross mark[EM]baby bottle[EM],"[':cross_mark:', ':bento_box:', ':cross_mark:', ':baby_bottle:']"
critical shortage,[EM]double exclamation mark[EM]shrimp[EM]squid[EM]bread[EM]kiwi fruit[EM],"[':double_exclamation_mark:', ':shrimp:', ':squid:', ':bread:', ':kiwi_fruit:']"
critical shortage,[EM]police car light[EM]chart decreasing[EM],"[':police_car_light:', ':chart_decreasing:']"
critical shortage,[EM]red exclamation mark[EM]avocado[EM]red apple[EM]cheese wedge[EM]cooked rice[EM]red exclamation mark[EM]sad but relieved face[EM],"[':red_exclamation_mark:', ':avocado:', ':red_apple:', ':cheese_wedge:', ':cooked_rice:', ':red_exclamation_mark:', ':sad_but_relieved_face:']"
critical shortage,[EM]pinching hand[EM]bread[EM],"[':pinching_hand:', ':bread:']"
critical shortage,[EM]hourglass done[EM]cross mark[EM]basket[EM],"[':hourglass_done:', ':cross_mark:', ':basket:']"
critical element,[EM]old key[EM]warning[EM]warning[EM],"[':old_key:', ':warning:', ':warning:']"
critical element,[EM]fire[EM]droplet[EM]snowflake[EM]high voltage[EM]dragon[EM],"[':fire:', ':droplet:', ':snowflake:', ':high_voltage:', ':dragon:']"
critical element,[EM]red exclamation mark[EM]person walking[EM],"[':red_exclamation_mark:', ':person_walking:']"
critical element,[EM]double exclamation mark[EM]rescue worker’s helmet[EM],"[':double_exclamation_mark:', ':rescue_worker’s_helmet:']"
critical element,[EM]police car light[EM]police car light[EM],"[':police_car_light:', ':police_car_light:']"
critical element,[EM]atom symbol[EM]petri dish[EM]double exclamation mark[EM],"[':atom_symbol:', ':petri_dish:', ':double_exclamation_mark:']"
critical element,[EM]Japanese bargain button[EM]SOS button[EM],"[':Japanese_bargain_button:', ':SOS_button:']"
critical element,[EM]woman scientist[EM]red exclamation mark[EM],"[':woman_scientist:', ':red_exclamation_mark:']"
immediate reply,[EM]dashing away[EM]dashing away[EM]repeat button[EM]speech balloon[EM],"[':dashing_away:', ':dashing_away:', ':repeat_button:', ':speech_balloon:']"
immediate reply,[EM]red exclamation mark[EM]outbox tray[EM],"[':red_exclamation_mark:', ':outbox_tray:']"
immediate reply,[EM]fast-forward button[EM]telephone receiver[EM]mobile phone[EM],"[':fast-forward_button:', ':telephone_receiver:', ':mobile_phone:']"
immediate reply,[EM]SOON arrow[EM]incoming envelope[EM],"[':SOON_arrow:', ':incoming_envelope:']"
immediate reply,[EM]police car light[EM]mobile phone with arrow[EM],"[':police_car_light:', ':mobile_phone_with_arrow:']"
immediate reply,[EM]man running[EM]telephone receiver[EM]thought balloon[EM],"[':man_running:', ':telephone_receiver:', ':thought_balloon:']"
immediate reply,[EM]fast-forward button[EM]incoming envelope[EM],"[':fast-forward_button:', ':incoming_envelope:']"
immediate reply,[EM]stopwatch[EM]mobile phone with arrow[EM],"[':stopwatch:', ':mobile_phone_with_arrow:']"
immediate influence,[EM]dashing away[EM]dashing away[EM]man standing[EM]shuffle tracks button[EM]woman standing[EM],"[':dashing_away:', ':dashing_away:', ':man_standing:', ':shuffle_tracks_button:', ':woman_standing:']"
immediate influence,[EM]woman dancing[EM]man dancing[EM]person raising hand[EM]woman raising hand[EM]man raising hand[EM],"[':woman_dancing:', ':man_dancing:', ':person_raising_hand:', ':woman_raising_hand:', ':man_raising_hand:']"
immediate influence,[EM]fast-forward button[EM]woman judge[EM]man judge[EM],"[':fast-forward_button:', ':woman_judge:', ':man_judge:']"
immediate influence,[EM]SOON arrow[EM]family man woman girl boy[EM],"[':SOON_arrow:', ':family_man_woman_girl_boy:']"
immediate influence,[EM]woman bowing light skin tone[EM]woman bowing light skin tone[EM],"[':woman_bowing_light_skin_tone:', ':woman_bowing_light_skin_tone:']"
immediate influence,[EM]man police officer[EM]backhand index pointing down[EM]folded hands[EM]handshake[EM],"[':man_police_officer:', ':backhand_index_pointing_down:', ':folded_hands:', ':handshake:']"
immediate influence,[EM]TOP arrow[EM]TOP arrow[EM],"[':TOP_arrow:', ':TOP_arrow:']"
immediate influence,[EM]people holding hands[EM]left-right arrow[EM]red exclamation mark[EM],"[':people_holding_hands:', ':left-right_arrow:', ':red_exclamation_mark:']"
thin oil,[EM]oil drum[EM],[':oil_drum:']
thin oil,[EM]hot springs[EM]diya lamp[EM],"[':hot_springs:', ':diya_lamp:']"
thin oil,[EM]pinching hand[EM]diya lamp[EM],"[':pinching_hand:', ':diya_lamp:']"
thin oil,[EM]droplet[EM]diya lamp[EM],"[':droplet:', ':diya_lamp:']"
thin oil,[EM]pinching hand[EM]oil drum[EM],"[':pinching_hand:', ':oil_drum:']"
thin oil,[EM]pinching hand[EM]tumbler glass[EM],"[':pinching_hand:', ':tumbler_glass:']"
thin oil,[EM]pinching hand[EM]straight ruler[EM]oil drum[EM],"[':pinching_hand:', ':straight_ruler:', ':oil_drum:']"
thin oil,[EM]pinching hand[EM]man cook[EM]oil drum[EM],"[':pinching_hand:', ':man_cook:', ':oil_drum:']"
thin soup,[EM]pot of food[EM]thumbs down[EM],"[':pot_of_food:', ':thumbs_down:']"
thin soup,[EM]hot springs[EM],[':hot_springs:']
thin soup,[EM]droplet[EM]canned food[EM],"[':droplet:', ':canned_food:']"
thin soup,[EM]sweat droplets[EM]sweat droplets[EM]bowl with spoon[EM],"[':sweat_droplets:', ':sweat_droplets:', ':bowl_with_spoon:']"
thin soup,[EM]steaming bowl[EM],[':steaming_bowl:']
thin soup,[EM]pinching hand[EM]fondue[EM],"[':pinching_hand:', ':fondue:']"
thin soup,[EM]pinching hand[EM]straight ruler[EM]bowl with spoon[EM],"[':pinching_hand:', ':straight_ruler:', ':bowl_with_spoon:']"
thin soup,[EM]pinching hand[EM]bowl with spoon[EM],"[':pinching_hand:', ':bowl_with_spoon:']"
thin air,[EM]fog[EM],[':fog:']
thin air,[EM]hot springs[EM],[':hot_springs:']
thin air,[EM]pinching hand[EM]leaf fluttering in wind[EM],"[':pinching_hand:', ':leaf_fluttering_in_wind:']"
thin air,[EM]leaf fluttering in wind[EM],[':leaf_fluttering_in_wind:']
thin air,[EM]face with spiral eyes[EM]dashing away[EM],"[':face_with_spiral_eyes:', ':dashing_away:']"
thin air,[EM]leaf fluttering in wind[EM]pinching hand[EM],"[':leaf_fluttering_in_wind:', ':pinching_hand:']"
thin air,[EM]pinching hand[EM]straight ruler[EM]dashing away[EM],"[':pinching_hand:', ':straight_ruler:', ':dashing_away:']"
thin air,[EM]pinched fingers light skin tone[EM]wind face[EM],"[':pinched_fingers_light_skin_tone:', ':wind_face:']"
thin line,[EM]pinching hand[EM]writing hand[EM],"[':pinching_hand:', ':writing_hand:']"
thin line,[EM]hot springs[EM]pencil[EM]memo[EM],"[':hot_springs:', ':pencil:', ':memo:']"
thin line,[EM]pinching hand[EM]straight ruler[EM],"[':pinching_hand:', ':straight_ruler:']"
thin line,[EM]memo[EM],[':memo:']
thin line,[EM]straight ruler[EM]pinching hand[EM]chart decreasing[EM],"[':straight_ruler:', ':pinching_hand:', ':chart_decreasing:']"
thin line,[EM]pinching hand[EM]pen[EM],"[':pinching_hand:', ':pen:']"
thin line,[EM]pinching hand[EM]straight ruler[EM]minus[EM],"[':pinching_hand:', ':straight_ruler:', ':minus:']"
thin line,[EM]pinched fingers light skin tone[EM]wavy dash[EM],"[':pinched_fingers_light_skin_tone:', ':wavy_dash:']"
thick soup,[EM]pot of food[EM]pot of food[EM]thumbs up[EM],"[':pot_of_food:', ':pot_of_food:', ':thumbs_up:']"
thick soup,[EM]pot of food[EM]pot of food[EM]pot of food[EM],"[':pot_of_food:', ':pot_of_food:', ':pot_of_food:']"
thick soup,[EM]canned food[EM]soft ice cream[EM],"[':canned_food:', ':soft_ice_cream:']"
thick soup,[EM]sweat droplets[EM]bowl with spoon[EM],"[':sweat_droplets:', ':bowl_with_spoon:']"
thick soup,[EM]raising hands[EM]pot of food[EM],"[':raising_hands:', ':pot_of_food:']"
thick soup,[EM]fondue[EM]fondue[EM]fondue[EM],"[':fondue:', ':fondue:', ':fondue:']"
thick soup,[EM]straight ruler[EM]bowl with spoon[EM],"[':straight_ruler:', ':bowl_with_spoon:']"
thick soup,[EM]bowl with spoon[EM],[':bowl_with_spoon:']
thick smoke,[EM]volcano[EM]dashing away[EM],"[':volcano:', ':dashing_away:']"
thick smoke,[EM]dashing away[EM]dashing away[EM]dashing away[EM]face with steam from nose[EM]volcano[EM]cigarette[EM]face with steam from nose[EM],"[':dashing_away:', ':dashing_away:', ':dashing_away:', ':face_with_steam_from_nose:', ':volcano:', ':cigarette:', ':face_with_steam_from_nose:']"
thick smoke,[EM]dashing away[EM]eye[EM]cross mark[EM],"[':dashing_away:', ':eye:', ':cross_mark:']"
thick smoke,[EM]dashing away[EM]cigarette[EM],"[':dashing_away:', ':cigarette:']"
thick smoke,[EM]volcano[EM]volcano[EM]volcano[EM]face with medical mask[EM],"[':volcano:', ':volcano:', ':volcano:', ':face_with_medical_mask:']"
thick smoke,[EM]dashing away[EM]dashing away[EM]fog[EM]fog[EM],"[':dashing_away:', ':dashing_away:', ':fog:', ':fog:']"
thick smoke,[EM]fire[EM]dashing away[EM]dashing away[EM]dashing away[EM]dashing away[EM],"[':fire:', ':dashing_away:', ':dashing_away:', ':dashing_away:', ':dashing_away:']"
thick smoke,[EM]dashing away[EM],[':dashing_away:']
thick cream,[EM]soft ice cream[EM]soft ice cream[EM]soft ice cream[EM],"[':soft_ice_cream:', ':soft_ice_cream:', ':soft_ice_cream:']"
thick cream,[EM]ice cream[EM]soft ice cream[EM],"[':ice_cream:', ':soft_ice_cream:']"
thick cream,[EM]soft ice cream[EM]canned food[EM]soft ice cream[EM]soft ice cream[EM]soft ice cream[EM]soft ice cream[EM],"[':soft_ice_cream:', ':canned_food:', ':soft_ice_cream:', ':soft_ice_cream:', ':soft_ice_cream:', ':soft_ice_cream:']"
thick cream,[EM]cupcake[EM],[':cupcake:']
thick cream,[EM]lotion bottle[EM]flexed biceps[EM],"[':lotion_bottle:', ':flexed_biceps:']"
thick cream,[EM]sake[EM]sake[EM],"[':sake:', ':sake:']"
thick cream,[EM]straight ruler[EM]soft ice cream[EM]soft ice cream[EM],"[':straight_ruler:', ':soft_ice_cream:', ':soft_ice_cream:']"
thick cream,[EM]soft ice cream[EM],[':soft_ice_cream:']
thick fog,[EM]fog[EM]fog[EM]fog[EM],"[':fog:', ':fog:', ':fog:']"
thick fog,[EM]airplane[EM]see-no-evil monkey[EM],"[':airplane:', ':see-no-evil_monkey:']"
thick fog,[EM]dashing away[EM]eye[EM]fog[EM],"[':dashing_away:', ':eye:', ':fog:']"
thick fog,[EM]fog[EM]fog[EM]foggy[EM],"[':fog:', ':fog:', ':foggy:']"
thick fog,[EM]fog[EM]fog[EM]fog[EM],"[':fog:', ':fog:', ':fog:']"
thick fog,[EM]fog[EM]fog[EM],"[':fog:', ':fog:']"
thick fog,[EM]straight ruler[EM]fog[EM]fog[EM]fog[EM]foggy[EM]foggy[EM],"[':straight_ruler:', ':fog:', ':fog:', ':fog:', ':foggy:', ':foggy:']"
thick fog,[EM]fog[EM]face in clouds[EM],"[':fog:', ':face_in_clouds:']"
wrong paper,[EM]cross mark[EM]page facing up[EM],"[':cross_mark:', ':page_facing_up:']"
wrong paper,[EM]cross mark[EM]scroll[EM],"[':cross_mark:', ':scroll:']"
wrong paper,[EM]woman gesturing NO[EM]page with curl[EM],"[':woman_gesturing_NO:', ':page_with_curl:']"
wrong paper,[EM]cross mark[EM]page facing up[EM],"[':cross_mark:', ':page_facing_up:']"
wrong paper,[EM]man gesturing NO[EM]page facing up[EM],"[':man_gesturing_NO:', ':page_facing_up:']"
wrong paper,[EM]cross mark[EM]page with curl[EM],"[':cross_mark:', ':page_with_curl:']"
wrong paper,[EM]cross mark[EM]scroll[EM],"[':cross_mark:', ':scroll:']"
wrong paper,[EM]cross mark[EM]page with curl[EM],"[':cross_mark:', ':page_with_curl:']"
wrong road,[EM]cross mark[EM]motorway[EM],"[':cross_mark:', ':motorway:']"
wrong road,[EM]cross mark[EM]motorway[EM],"[':cross_mark:', ':motorway:']"
wrong road,[EM]woman gesturing NO[EM]motorway[EM],"[':woman_gesturing_NO:', ':motorway:']"
wrong road,[EM]cross mark[EM]motorway[EM],"[':cross_mark:', ':motorway:']"
wrong road,[EM]man gesturing NO[EM]motorway[EM],"[':man_gesturing_NO:', ':motorway:']"
wrong road,[EM]cross mark[EM]motorway[EM],"[':cross_mark:', ':motorway:']"
wrong road,[EM]cross mark[EM]motorway[EM],"[':cross_mark:', ':motorway:']"
wrong road,[EM]person gesturing NO[EM]motorway[EM],"[':person_gesturing_NO:', ':motorway:']"
wrong cheating,[EM]cross mark[EM]woman technologist[EM],"[':cross_mark:', ':woman_technologist:']"
wrong cheating,[EM]cross mark[EM]bookmark tabs[EM],"[':cross_mark:', ':bookmark_tabs:']"
wrong cheating,[EM]woman gesturing NO[EM]broken heart[EM],"[':woman_gesturing_NO:', ':broken_heart:']"
wrong cheating,[EM]person gesturing NO[EM]kiss woman man[EM]broken heart[EM],"[':person_gesturing_NO:', ':kiss_woman_man:', ':broken_heart:']"
wrong cheating,[EM]man gesturing NO[EM]smiling face with horns[EM]shushing face[EM]writing hand[EM]page facing up[EM]books[EM]hundred points[EM],"[':man_gesturing_NO:', ':smiling_face_with_horns:', ':shushing_face:', ':writing_hand:', ':page_facing_up:', ':books:', ':hundred_points:']"
wrong cheating,[EM]thumbs down[EM]memo[EM],"[':thumbs_down:', ':memo:']"
wrong cheating,[EM]cross mark[EM]memo[EM]clipboard[EM],"[':cross_mark:', ':memo:', ':clipboard:']"
wrong cheating,[EM]smirking face[EM]thumbs down[EM],"[':smirking_face:', ':thumbs_down:']"
wrong way,[EM]cross mark[EM]up-right arrow[EM]up-left arrow[EM]cross mark button[EM],"[':cross_mark:', ':up-right_arrow:', ':up-left_arrow:', ':cross_mark_button:']"
wrong way,[EM]cross mark[EM]right arrow curving left[EM],"[':cross_mark:', ':right_arrow_curving_left:']"
wrong way,[EM]woman gesturing NO[EM]children crossing[EM],"[':woman_gesturing_NO:', ':children_crossing:']"
wrong way,[EM]cross mark[EM]up-right arrow[EM]world map[EM],"[':cross_mark:', ':up-right_arrow:', ':world_map:']"
wrong way,[EM]man gesturing NO[EM]world map[EM]compass[EM],"[':man_gesturing_NO:', ':world_map:', ':compass:']"
wrong way,[EM]cross mark[EM]compass[EM],"[':cross_mark:', ':compass:']"
wrong way,[EM]cross mark[EM]world map[EM]woman gesturing NO[EM],"[':cross_mark:', ':world_map:', ':woman_gesturing_NO:']"
wrong way,[EM]person facepalming[EM]compass[EM],"[':person_facepalming:', ':compass:']"
wrong medicine,[EM]cross mark[EM]pill[EM],"[':cross_mark:', ':pill:']"
wrong medicine,[EM]cross mark[EM]pill[EM],"[':cross_mark:', ':pill:']"
wrong medicine,[EM]woman gesturing NO[EM]pill[EM],"[':woman_gesturing_NO:', ':pill:']"
wrong medicine,[EM]cross mark[EM]pill[EM]face with thermometer[EM],"[':cross_mark:', ':pill:', ':face_with_thermometer:']"
wrong medicine,[EM]man gesturing NO[EM]pill[EM],"[':man_gesturing_NO:', ':pill:']"
wrong medicine,[EM]cross mark[EM]pill[EM],"[':cross_mark:', ':pill:']"
wrong medicine,[EM]cross mark[EM]pill[EM],"[':cross_mark:', ':pill:']"
wrong medicine,[EM]cross mark[EM]pill[EM],"[':cross_mark:', ':pill:']"
wrong information,[EM]cross mark[EM]information[EM],"[':cross_mark:', ':information:']"
wrong information,[EM]cross mark[EM]information[EM],"[':cross_mark:', ':information:']"
wrong information,[EM]woman gesturing NO[EM]information[EM],"[':woman_gesturing_NO:', ':information:']"
wrong information,[EM]cross mark[EM]thought balloon[EM]red question mark[EM],"[':cross_mark:', ':thought_balloon:', ':red_question_mark:']"
wrong information,[EM]man gesturing NO[EM]bookmark tabs[EM]card index dividers[EM],"[':man_gesturing_NO:', ':bookmark_tabs:', ':card_index_dividers:']"
wrong information,[EM]cross mark[EM]brain[EM],"[':cross_mark:', ':brain:']"
wrong information,[EM]cross mark[EM]newspaper[EM],"[':cross_mark:', ':newspaper:']"
wrong information,[EM]cross mark[EM]information[EM],"[':cross_mark:', ':information:']"
wrong assumption,[EM]cross mark[EM]thinking face[EM],"[':cross_mark:', ':thinking_face:']"
wrong assumption,[EM]cross mark[EM]thought balloon[EM],"[':cross_mark:', ':thought_balloon:']"
wrong assumption,[EM]woman gesturing NO[EM]thinking face[EM],"[':woman_gesturing_NO:', ':thinking_face:']"
wrong assumption,[EM]mouth[EM]cross mark[EM]mouth[EM]speech balloon[EM],"[':mouth:', ':cross_mark:', ':mouth:', ':speech_balloon:']"
wrong assumption,[EM]man gesturing NO[EM]thinking face[EM],"[':man_gesturing_NO:', ':thinking_face:']"
wrong assumption,[EM]cross mark[EM]eyes[EM]brain[EM],"[':cross_mark:', ':eyes:', ':brain:']"
wrong assumption,[EM]cross mark[EM]thinking face[EM],"[':cross_mark:', ':thinking_face:']"
wrong assumption,[EM]thinking face[EM]person facepalming[EM],"[':thinking_face:', ':person_facepalming:']"
wrong time,[EM]cross mark[EM]alarm clock[EM],"[':cross_mark:', ':alarm_clock:']"
wrong time,[EM]cross mark[EM]six-thirty[EM],"[':cross_mark:', ':six-thirty:']"
wrong time,[EM]woman gesturing NO[EM]mantelpiece clock[EM],"[':woman_gesturing_NO:', ':mantelpiece_clock:']"
wrong time,[EM]cross mark[EM]stopwatch[EM]alarm clock[EM],"[':cross_mark:', ':stopwatch:', ':alarm_clock:']"
wrong time,[EM]man gesturing NO[EM]stopwatch[EM],"[':man_gesturing_NO:', ':stopwatch:']"
wrong time,[EM]cross mark[EM]alarm clock[EM],"[':cross_mark:', ':alarm_clock:']"
wrong time,[EM]cross mark[EM]stopwatch[EM],"[':cross_mark:', ':stopwatch:']"
wrong time,[EM]person facepalming[EM]watch[EM],"[':person_facepalming:', ':watch:']"
warm support,[EM]hot springs[EM]people holding hands[EM]people holding hands[EM]people holding hands[EM],"[':hot_springs:', ':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']"
warm support,[EM]thermometer[EM]people hugging[EM],"[':thermometer:', ':people_hugging:']"
warm support,[EM]handshake[EM]hot face[EM],"[':handshake:', ':hot_face:']"
warm support,[EM]family[EM]smiling face with hearts[EM],"[':family:', ':smiling_face_with_hearts:']"
warm support,[EM]people hugging[EM]smiling face with open hands[EM],"[':people_hugging:', ':smiling_face_with_open_hands:']"
warm support,[EM]smiling face with hearts[EM],[':smiling_face_with_hearts:']
warm support,[EM]fire[EM]flexed biceps light skin tone[EM],"[':fire:', ':flexed_biceps_light_skin_tone:']"
warm support,[EM]thermometer[EM]flexed biceps[EM],"[':thermometer:', ':flexed_biceps:']"
warm greeting,[EM]hot springs[EM]smiling face with open hands[EM]handshake[EM],"[':hot_springs:', ':smiling_face_with_open_hands:', ':handshake:']"
warm greeting,[EM]hot springs[EM]waving hand[EM],"[':hot_springs:', ':waving_hand:']"
warm greeting,[EM]hot face[EM]waving hand[EM],"[':hot_face:', ':waving_hand:']"
warm greeting,[EM]waving hand[EM]smiling face with hearts[EM],"[':waving_hand:', ':smiling_face_with_hearts:']"
warm greeting,[EM]smiling face with smiling eyes[EM]waving hand[EM],"[':smiling_face_with_smiling_eyes:', ':waving_hand:']"
warm greeting,[EM]waving hand[EM]waving hand[EM]waving hand[EM],"[':waving_hand:', ':waving_hand:', ':waving_hand:']"
warm greeting,[EM]red heart[EM]waving hand[EM],"[':red_heart:', ':waving_hand:']"
warm greeting,[EM]thermometer[EM]handshake[EM],"[':thermometer:', ':handshake:']"
warm debate,[EM]hot springs[EM]balance scale[EM],"[':hot_springs:', ':balance_scale:']"
warm debate,[EM]fire[EM]speaking head[EM],"[':fire:', ':speaking_head:']"
warm debate,[EM]man detective[EM]woman detective[EM],"[':man_detective:', ':woman_detective:']"
warm debate,[EM]brain[EM]speaking head[EM]collision[EM],"[':brain:', ':speaking_head:', ':collision:']"
warm debate,[EM]speaking head[EM]fire[EM]speaking head[EM],"[':speaking_head:', ':fire:', ':speaking_head:']"
warm debate,[EM]mouth[EM]exploding head[EM],"[':mouth:', ':exploding_head:']"
warm debate,[EM]collision[EM]brain[EM],"[':collision:', ':brain:']"
warm debate,[EM]thermometer[EM]speaking head[EM]speaking head[EM],"[':thermometer:', ':speaking_head:', ':speaking_head:']"
warm room,[EM]hot springs[EM]face exhaling[EM],"[':hot_springs:', ':face_exhaling:']"
warm room,[EM]thermometer[EM]women’s room[EM]men’s room[EM],"[':thermometer:', ':women’s_room:', ':men’s_room:']"
warm room,[EM]hot face[EM]house with garden[EM],"[':hot_face:', ':house_with_garden:']"
warm room,[EM]hot face[EM]school[EM],"[':hot_face:', ':school:']"
warm room,[EM]hot face[EM]thermometer[EM]derelict house[EM],"[':hot_face:', ':thermometer:', ':derelict_house:']"
warm room,[EM]hot face[EM],[':hot_face:']
warm room,[EM]fire[EM]house[EM],"[':fire:', ':house:']"
warm room,[EM]thermometer[EM]house[EM],"[':thermometer:', ':house:']"
warm body,[EM]hot springs[EM]foot[EM]leg[EM]nose[EM]ear[EM]hand with fingers splayed[EM],"[':hot_springs:', ':foot:', ':leg:', ':nose:', ':ear:', ':hand_with_fingers_splayed:']"
warm body,[EM]thermometer[EM]man standing[EM],"[':thermometer:', ':man_standing:']"
warm body,[EM]movie camera[EM]woman tipping hand[EM]red heart[EM]man zombie[EM],"[':movie_camera:', ':woman_tipping_hand:', ':red_heart:', ':man_zombie:']"
warm body,[EM]face with thermometer[EM],[':face_with_thermometer:']
warm body,[EM]face with thermometer[EM],[':face_with_thermometer:']
warm body,[EM]hot face[EM],[':hot_face:']
warm body,[EM]fire[EM]man in steamy room[EM],"[':fire:', ':man_in_steamy_room:']"
warm body,[EM]thermometer[EM]person standing[EM],"[':thermometer:', ':person_standing:']"
warm climate,[EM]hot springs[EM]sun behind cloud[EM],"[':hot_springs:', ':sun_behind_cloud:']"
warm climate,[EM]thermometer[EM]desert[EM],"[':thermometer:', ':desert:']"
warm climate,[EM]hot face[EM]desert island[EM],"[':hot_face:', ':desert_island:']"
warm climate,[EM]face with thermometer[EM]hot face[EM]fire[EM]sun[EM],"[':face_with_thermometer:', ':hot_face:', ':fire:', ':sun:']"
warm climate,[EM]sun[EM]thermometer[EM]chart increasing[EM],"[':sun:', ':thermometer:', ':chart_increasing:']"
warm climate,[EM]sun behind small cloud[EM],[':sun_behind_small_cloud:']
warm climate,[EM]sun behind small cloud[EM],[':sun_behind_small_cloud:']
warm climate,[EM]thermometer[EM]globe showing Asia-Australia[EM],"[':thermometer:', ':globe_showing_Asia-Australia:']"
warm coat,[EM]hot springs[EM]coat[EM],"[':hot_springs:', ':coat:']"
warm coat,[EM]thermometer[EM]coat[EM],"[':thermometer:', ':coat:']"
warm coat,[EM]hot face[EM]lab coat[EM],"[':hot_face:', ':lab_coat:']"
warm coat,[EM]coat[EM]hot face[EM],"[':coat:', ':hot_face:']"
warm coat,[EM]thumbs up[EM]coat[EM]cross mark[EM]cold face[EM],"[':thumbs_up:', ':coat:', ':cross_mark:', ':cold_face:']"
warm coat,[EM]coat[EM],[':coat:']
warm coat,[EM]coat[EM],[':coat:']
warm coat,[EM]thermometer[EM]lab coat[EM],"[':thermometer:', ':lab_coat:']"
warm personality,[EM]hot springs[EM]slightly smiling face[EM]bust in silhouette[EM],"[':hot_springs:', ':slightly_smiling_face:', ':bust_in_silhouette:']"
warm personality,[EM]fire[EM]squinting face with tongue[EM],"[':fire:', ':squinting_face_with_tongue:']"
warm personality,[EM]hot face[EM]handshake[EM]waving hand[EM],"[':hot_face:', ':handshake:', ':waving_hand:']"
warm personality,[EM]smiling face with hearts[EM]women holding hands[EM],"[':smiling_face_with_hearts:', ':women_holding_hands:']"
warm personality,[EM]oncoming fist[EM]people holding hands[EM],"[':oncoming_fist:', ':people_holding_hands:']"
warm personality,[EM]smiling face with hearts[EM],[':smiling_face_with_hearts:']
warm personality,[EM]beaming face with smiling eyes[EM]partying face[EM],"[':beaming_face_with_smiling_eyes:', ':partying_face:']"
warm personality,[EM]thermometer[EM]woman tipping hand[EM],"[':thermometer:', ':woman_tipping_hand:']"
clear complexion,[EM]magnifying glass tilted right[EM]woman light skin tone[EM],"[':magnifying_glass_tilted_right:', ':woman_light_skin_tone:']"
clear complexion,[EM]woman[EM]sparkles[EM],"[':woman:', ':sparkles:']"
clear complexion,[EM]relieved face[EM]sparkles[EM]sparkles[EM],"[':relieved_face:', ':sparkles:', ':sparkles:']"
clear complexion,[EM]woman tipping hand[EM],[':woman_tipping_hand:']
clear complexion,[EM]woman getting massage[EM]OK hand[EM],"[':woman_getting_massage:', ':OK_hand:']"
clear complexion,[EM]man[EM]potable water[EM]green salad[EM]mirror[EM]sparkles[EM],"[':man:', ':potable_water:', ':green_salad:', ':mirror:', ':sparkles:']"
clear complexion,[EM]smiling face with heart-eyes[EM]lotion bottle[EM],"[':smiling_face_with_heart-eyes:', ':lotion_bottle:']"
clear indication,[EM]magnifying glass tilted right[EM]backhand index pointing right[EM],"[':magnifying_glass_tilted_right:', ':backhand_index_pointing_right:']"
clear indication,[EM]check mark[EM]check mark[EM],"[':check_mark:', ':check_mark:']"
clear indication,[EM]astonished face[EM]astonished face[EM]OK button[EM],"[':astonished_face:', ':astonished_face:', ':OK_button:']"
clear indication,[EM]crystal ball[EM]glasses[EM],"[':crystal_ball:', ':glasses:']"
clear indication,[EM]check mark[EM]writing hand[EM],"[':check_mark:', ':writing_hand:']"
clear indication,[EM]speech balloon[EM]check mark[EM]cross mark[EM]red question mark[EM],"[':speech_balloon:', ':check_mark:', ':cross_mark:', ':red_question_mark:']"
clear indication,[EM]speaking head[EM]thumbs up light skin tone[EM],"[':speaking_head:', ':thumbs_up_light_skin_tone:']"
clear air,[EM]wind face[EM],[':wind_face:']
clear air,[EM]mountain[EM]wind face[EM],"[':mountain:', ':wind_face:']"
clear air,[EM]dashing away[EM]dashing away[EM]sparkles[EM],"[':dashing_away:', ':dashing_away:', ':sparkles:']"
clear air,[EM]leaf fluttering in wind[EM]cross mark[EM]cigarette[EM]broom[EM],"[':leaf_fluttering_in_wind:', ':cross_mark:', ':cigarette:', ':broom:']"
clear air,[EM]wind face[EM]leaf fluttering in wind[EM]thumbs up[EM],"[':wind_face:', ':leaf_fluttering_in_wind:', ':thumbs_up:']"
clear air,[EM]dashing away[EM]sparkles[EM]cross mark[EM]microbe[EM],"[':dashing_away:', ':sparkles:', ':cross_mark:', ':microbe:']"
clear air,[EM]thumbs up light skin tone[EM]wind face[EM],"[':thumbs_up_light_skin_tone:', ':wind_face:']"
clear case,[EM]magnifying glass tilted right[EM]briefcase[EM],"[':magnifying_glass_tilted_right:', ':briefcase:']"
